stim_id,condition,freq_category,word,subtlex_log10freq
125,nw,none,gimmel,0
126,nw,none,geeegd,0
127,nw,none,widde,0
128,nw,none,slengel,0
129,nw,none,schuven,0
130,nw,none,mouken,0
131,nw,none,mangen,0
132,nw,none,groeken,0
133,nw,none,prist,0
134,nw,none,dimp,0
135,nw,none,latter,0
136,nw,none,hentels,0
137,nw,none,mynterie,0
138,nw,none,bield,0
139,nw,none,zanalen,0
140,nw,none,kobijnen,0
141,nw,none,dolpen,0
142,nw,none,fluis,0
143,nw,none,hiek,0
144,nw,none,gardien,0
145,nw,none,stieg,0
146,nw,none,deven,0
147,nw,none,gekweden,0
148,nw,none,spanke,0
149,nw,none,hapen,0
150,nw,none,splim,0
151,nw,none,goven,0
152,nw,none,kraapte,0
153,nw,none,adorak,0
154,nw,none,merziks,0
155,nw,none,gefart,0
156,nw,none,kandola,0
157,nw,none,kliepel,0
158,nw,none,melsen,0
159,nw,none,udel,0
160,nw,none,wammel,0
161,nw,none,grantel,0
162,nw,none,vroeken,0
163,nw,none,spavel,0
164,nw,none,bevroken,0
165,nw,none,drapels,0
166,nw,none,beuten,0
167,nw,none,fradingo,0
168,nw,none,jaan,0
169,nw,none,melonie,0
170,nw,none,dakenoe,0
171,nw,none,dwal,0
172,nw,none,maapt,0
173,nw,none,snarpen,0
174,nw,none,bivieren,0
175,nw,none,bing,0
176,nw,none,kete,0
177,nw,none,geflepen,0
178,nw,none,bennel,0
179,nw,none,wag,0
180,nw,none,gefoken,0
181,nw,none,komezie,0
182,nw,none,gilmen,0
183,nw,none,gebeikt,0
184,nw,none,gidder,0
185,nw,none,wantel,0
186,nw,none,valgen,0
187,nw,none,prinnel,0
188,nw,none,gempen,0
189,nw,none,wieter,0
190,nw,none,krin,0
191,nw,none,frinkels,0
192,nw,none,frijs,0
193,nw,none,gus,0
194,nw,none,dolonie,0
195,nw,none,kostuken,0
196,nw,none,eest,0
197,nw,none,maaft,0
198,nw,none,schrijk,0
199,nw,none,flampen,0
200,nw,none,glaf,0
